,Title,Brand,Price,Ratings,Sizes,Product Url,Image Url
25,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones ,KSh 530 ,7,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/jack-jones-mens-short-sleeve-printed-round-neck-tee-150-grams-26321929.html,"https://ke.jumia.is/H-XGHMMVhB9M6fwXkR5YiXZRmI0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/92/912362/1.jpg?2946"
26,100% Cotton T-shirt Hip Hop Printed Men T Shirt Short Sleeve,Generic ,KSh 999 ,,"['S', 'L', 'XXL', 'XXXL', 'XXXXL']",https://www.jumia.co.ke/generic-100-cotton-t-shirt-hip-hop-printed-men-t-shirt-short-sleeve-25956769.html,"https://ke.jumia.is/oig84glC5BFyOcn3JIo-nduqWEg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/96/765952/1.jpg?2572"
27,Grey Long sleeve t shirt,Fashion ,KSh 750 ,1,"['S', 'M', 'L', 'XL']",https://www.jumia.co.ke/fashion-grey-long-sleeve-t-shirt-25859883.html,"https://ke.jumia.is/ifBUaeo8U9RzFabFWJwmLimFc0c=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/38/895852/1.jpg?8491"
28,v neck tshirt-Grey,Fashion ,KSh 680  - KSh 750 ,,"['M', 'L', 'XL']",https://www.jumia.co.ke/fashion-v-neck-tshirt-grey-27768759.html,"https://ke.jumia.is/yOSjKtVU9vXe3PqQEyIJ2plL1pw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/95/786772/1.jpg?1110"
29,Pure Cotton Set of 3 Vests - White,Fashion ,KSh 549 ,,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-pure-cotton-set-of-3-vests-white-26322595.html,"https://ke.jumia.is/qcN5JiaL7q29kb74opPQH9TsZ7c=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/59/522362/1.jpg?8236"
30,African Batman Lightweight T-shirt - Grey ,Mavazi Afrique ,KSh 499 ,2,"['L', 'XL']",https://www.jumia.co.ke/mavazi-afrique-african-batman-lightweight-t-shirt-grey-25899017.html,"https://ke.jumia.is/p7EG_S6v_HuQUjm3WhZ4YA5mCPU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/71/099852/1.jpg?6233"
31,casual Long Sleeved Shirt,Fashion ,"KSh 1,295 ",1,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-casual-long-sleeved-shirt-26460689.html,"https://ke.jumia.is/OwHTS8eTxEt80cVmsKpX72ikYo8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/98/606462/1.jpg?8206"
32,Black and Orange Striped Mens Polo Shirts,Zecchino ,KSh 767 ,2,"['S', 'L']",https://www.jumia.co.ke/zecchino-black-and-orange-striped-mens-polo-shirts-1379770.html,"https://ke.jumia.is/m5CFGuMUKLIOH-fVxuKbcEcnykk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/07/79731/1.jpg?2288"
33,Casual Denim Men Shirts Jean Shirt-Blue,Indian ,"KSh 1,499 ",8,"['M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/indian-casual-denim-men-shirts-jean-shirt-blue-14915169.html,"https://ke.jumia.is/nm_tKcXj-av79PbdoWGgorzLQUw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/96/151941/1.jpg?4712"
34,Long Sleeve Shirt Slim Fit Male Turn-Down Collar - Blue,Fashion ,"KSh 1,635 ",1,"['S', 'M', 'L', 'XL', 'XXL']",https://www.jumia.co.ke/fashion-long-sleeve-shirt-slim-fit-male-turn-down-collar-blue-10090230.html,"https://ke.jumia.is/B7ubsFJksKuDhu0yhS70u2hmAYY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/03/209001/1.jpg?1108"
